day;weekend;holidays;holiday
10/08/2014;вых;-;f
11/08/2014;будни;-;f
12/08/2014;будни;-;f
13/08/2014;будни;-;f
14/08/2014;будни;-;f
15/08/2014;будни;-;f
16/08/2014;вых;-;f
17/08/2014;вых;-;f
18/08/2014;будни;-;f
19/08/2014;будни;-;f
20/08/2014;будни;-;f
21/08/2014;будни;-;f
22/08/2014;будни;-;f
23/08/2014;вых;-;f
24/08/2014;вых;-;f
25/08/2014;будни;-;f
26/08/2014;будни;-;f
27/08/2014;будни;-;f
28/08/2014;будни;-;f
29/08/2014;будни;-;f
30/08/2014;вых;-;f
31/08/2014;вых;-;f
01/09/2014;будни;-;f
02/09/2014;будни;-;f
03/09/2014;будни;-;f
04/09/2014;будни;-;f
05/09/2014;будни;-;f
06/09/2014;вых;-;f
07/09/2014;вых;-;f
08/09/2014;будни;-;f
09/09/2014;будни;-;f
10/09/2014;будни;-;f
11/09/2014;будни;-;f
12/09/2014;будни;-;f
13/09/2014;вых;-;f
14/09/2014;вых;-;f
15/09/2014;будни;-;f
16/09/2014;будни;-;f
17/09/2014;будни;-;f
18/09/2014;будни;-;f
19/09/2014;будни;-;f
20/09/2014;вых;-;f
21/09/2014;вых;-;f
22/09/2014;будни;-;f
23/09/2014;будни;-;f
24/09/2014;будни;-;f
25/09/2014;будни;-;f
26/09/2014;будни;-;f
27/09/2014;вых;-;f
28/09/2014;вых;-;f
29/09/2014;будни;-;f
30/09/2014;будни;-;f
01/10/2014;будни;-;f
02/10/2014;будни;-;f
03/10/2014;будни;-;f
04/10/2014;вых;-;f
05/10/2014;вых;-;f
06/10/2014;будни;-;f
07/10/2014;будни;-;f
08/10/2014;будни;-;f
09/10/2014;будни;-;f
10/10/2014;будни;-;f
11/10/2014;вых;-;f
12/10/2014;вых;-;f
13/10/2014;будни;-;f
14/10/2014;будни;-;f
15/10/2014;будни;-;f
16/10/2014;будни;-;f
17/10/2014;будни;-;f
18/10/2014;вых;-;f
19/10/2014;вых;-;f
20/10/2014;будни;-;f
21/10/2014;будни;-;f
22/10/2014;будни;-;f
23/10/2014;будни;-;f
24/10/2014;будни;-;f
25/10/2014;вых;-;f
26/10/2014;вых;-;f
27/10/2014;будни;-;f
28/10/2014;будни;-;f
29/10/2014;будни;-;f
30/10/2014;будни;-;f
31/10/2014;будни;-;f
01/11/2014;вых;нарединства;f
02/11/2014;вых;нарединства;f
03/11/2014;будни;нарединства;f
04/11/2014;будни;нарединства;t
05/11/2014;будни;-;f
06/11/2014;будни;-;f
07/11/2014;будни;-;f
08/11/2014;вых;-;f
09/11/2014;вых;-;f
10/11/2014;будни;-;f
11/11/2014;будни;-;f
12/11/2014;будни;-;f
13/11/2014;будни;-;f
14/11/2014;будни;-;f
15/11/2014;вых;-;f
16/11/2014;вых;-;f
17/11/2014;будни;-;f
18/11/2014;будни;-;f
19/11/2014;будни;-;f
20/11/2014;будни;-;f
21/11/2014;будни;-;f
22/11/2014;вых;-;f
23/11/2014;вых;-;f
24/11/2014;будни;-;f
